2021,36,"2021-01-05 00:00:00",7,WERNER,"TESSY PLASTICS CORP.","    373771-10","    365569","    3772292"," SELLOS DE IMPORTACION: 12890475/12890478",Impo,S/D,S/D,16929760,1,JOCELYNN,JOCELYNNE,NULL,0,0,NULL
2021,37,"2021-01-05 00:00:00",44,"CITIZEN EXPRESS","SCHNIPKE SOUTHWEST LLC","   ","   23308","   "," ",Impo,,,VARIOS,1,,MARTIN,NULL,0,0,NULL
2021,38,"2021-01-05 00:00:00",3,JAMAMADI,"INTERACTIVE PRINTING SOLUTIONS","  TSN","   SWT415","   4529899"," ",Expo," IPS0003F21",810719062,"143742  ",1,training,JOCELYNNE,NULL,0,0,NULL
2021,39,"2021-01-05 00:00:00",6,UPS,"HARCO LLC","  ","  ","  "," ",Impo,,1zv9y7910142091563,,1,joseluis.gallo,"JOSE GALLO",NULL,0,0,NULL
2021,40,"2021-01-05 00:00:00",3,FEDEX,ICONEX,"  RMA","   PAQUETERIA","   S/D"," Trae 0 Bultos",Impo,,781853216301,RMA,1,ALEJANDRO.SANDO,"ALEX ",NULL,0,1,NULL
2021,41,"2021-01-05 00:00:00",7,S/D,WESTROCK,"   8223683","  5314","  9015781"," ",Impo,S/D,2335079383,VARIOS,1,JOCELYNN,"CHRISTIAN ",NULL,0,0,NULL
2021,43,"2021-01-05 00:00:00",6,"UPS GROUND","WESCO AIRCRAFT","  ","  ","  "," ",Impo,,1z6937870302582371,V115557,1,joseluis.gallo,"JOSE GALLO",NULL,0,0,NULL
2021,44,"2021-01-05 00:00:00",7,S/D,"TESSY PLASTICS CORP.","    373768-10","    5325","    3772293"," ",Impo,S/D,KC11300,16936951,1,JOCELYNN,JOCELYNNE,NULL,0,0,NULL
2021,45,"2021-01-05 00:00:00",3,FEDEX,ICONEX," RMA"," PAQUETRIA "," S/D"," 9622001900009118625300781746455799	<br>9622001900009118625300781746454965	<br>9622001900000000000000781746452860	<br>9622001900000000000000781582716369	<br>9622001900009118625300781746451966	<br>9622001900000000000000781582717994	<br>9622001900009118625300781582715980	<br>9622001900009118625300781853218771	<br>9622001900009118625300781810982798	<br>9622001900009118625300781746453248	<br>9622001900009118625300781853249391	<br>9622001900009118625300399841747530	<br>9611019889085735862764	<br>9611019889085034870712	<br>9622001900009118625300399841744276	<br>9622001900009118625300781002219352	<br>9611019889085734762232	<br>9622001900009118625300399841740763	<br>9622001900009118625300399841746154",Impo,S/D,VARIOS,RMA,1,ALEJANDRO.SANDO,ALEX,NULL,0,0,NULL
2021,46,"2021-01-05 00:00:00",7,UPS,FESTO,"  S/D","   PAQUETERIA","   S/D"," ",Impo,S/D,1ZX1A3540394750360,16960057,1,ALEJANDRO.SANDO,"JOSE GALLO",NULL,0,0,NULL
2021,47,"2021-01-05 00:00:00",7,UPS,MCMASTER-CARR,"   S/D","    PAQUETERIA","    S/D"," ",Impo,S/D,1z0526850304339882,16940056,1,ALEJANDRO.SANDO,"JOSE GALLO",NULL,0,0,NULL
2021,48,"2021-01-05 00:00:00",7,"UPS GROUND",MCMASTER-CARR,"  S/D","   PAQUETERIA","   S/D"," ",Impo,S/D,1z0526850304361080,16940056,1,ALEJANDRO.SANDO,"JOSE GALLO",NULL,0,0,NULL
2021,49,"2021-01-05 00:00:00",7,FEDEX,MCMASTER-CARR,"  S/D","   PAQUETERIA","   S/D"," ",Impo,S/D,1001891780610008562100941583021492,16970806,1,ALEJANDRO.SANDO,"JOSE GALLO",NULL,0,0,NULL
2021,50,"2021-01-05 00:00:00",7,UPS,"CAMPBELL WRAPER CORPORATION","   S/D","    PAQUETERIA","    S/D"," ",Impo,S/D,1ZA234V00371852685,16939802,1,ALEJANDRO.SANDO,MARTIN,NULL,0,0,NULL
2021,51,"2021-01-05 00:00:00",6,"UPS GROUND","WESCO AIRCRAFT","  ","  ","  "," ",Impo,,1Z6937870302582380,V115246,1,training,KARELIA,NULL,0,0,NULL
2021,52,"2021-01-05 00:00:00",6,"UPS GROUND",BTC," "," "," "," ",Impo,,1Z6436W10360290692,V114963,1,training,KARELIA,NULL,0,0,NULL
2021,53,"2021-01-06 00:00:00",13,"ENERGY TRANSPORT",EXPEDITORS,"  684597675","  53111","  SIN SELLO"," ",Impo,S/D,QP01684597675,16870069,1,JOCELYNN,KEVIN,NULL,0,0,NULL
2021,54,"2021-01-06 00:00:00",20,"UNIDOS TRANSPORT",NAI,"LOC# G326","   53186"," 0109148"," El trailer llego a las 9:50 AM",Expo,RT-2100012,S/D,VARIOS,1,VICTOR.RODRIGUE,"ALEX ",NULL,0,0,NULL
2021,55,"2021-01-06 00:00:00",20,"UNIDOS TRANSPORT",NAI,"LOC# G327","  53223","  0115576"," El trailer llego a las 11:17 AM ",Expo,RT-2100014,S/D,VARIOS,1,VICTOR.RODRIGUE,"ALEX ",NULL,0,0,NULL
2021,56,"2021-01-06 00:00:00",20,"UNIDOS TRANSPORT",NAI,"LOC# G334","   53191","   0109159"," El trailer llego a las 2:01 PM",Expo,RT-2100015,S/D,VARIOS,1,VICTOR.RODRIGUE,"ALEX ",NULL,0,0,NULL
2021,57,"2021-01-06 00:00:00",20,"UNIDOS TRANSPORT",NAI,"LOC# G332","   53184","   0109156"," HORA DE LLEGADA: 4:15 PM",Expo," RT-2100011  ",AZK60318126,VARIOS,1,VICTOR.RODRIGUE,,NULL,0,0,NULL
2021,58,"2021-01-06 00:00:00",3,JAMAMADI,"INTERACTIVE PRINTING SOLUTIONS","  AEX9803027MO","  HFS520","  UL-4529880"," En esta caja llevamos producto para el cliente Canada, tiene su cita hoy a las 12pm",Impo,IPS0005F21,AZK73757542,,1,Christian.Montijo,"CHRISTIAN ",NULL,0,0,NULL
2021,59,"2021-01-06 00:00:00",2,"LOGISTICA BALDERRAMA","BERRY GLOBAL INC.","   05540758","   110250","   0008877"," SELLOS DE IMPORTACION: 12890064 / 12890065<br><br>NO SE DESCARGO <br><br>EL PACKING NO CORRESPONDIO AL MATERIAL QUE VIENE FISICO <br>(FALTO UNA TARIMA )<br>SE HIZO LA ENTRADA EN BASE A LO QUE ESTA FISICAMENTE <br><br>",Impo,342871247,,VARIOS,1,ALEJANDRO.SANDO,"CHRISTIAN ",NULL,0,0,NULL
2021,60,"2021-01-05 00:00:00",6,"UPS GROUND","HARCO SEMCO","  ","  ","  "," ",Impo,,1zv9y7910342803692,,1,joseluis.gallo,"JOSE GALLO",NULL,0,0,NULL
